wavelength,value
3483.00,1.0569
3482.00,1.0581
3481.00,1.0600
3480.00,1.0617
3479.00,1.0626
3478.00,1.0625
3477.00,1.0616
3476.00,1.0603
3475.00,1.0593
3474.00,1.0587
3473.00,1.0586
3472.00,1.0588
3471.00,1.0594
3470.00,1.0603
3469.00,1.0611
3468.00,1.0614
3467.00,1.0610
3466.00,1.0600
3465.00,1.0583
3464.00,1.0563
3463.00,1.0545
3462.00,1.0535
3461.00,1.0529
3460.00,1.0522
3459.00,1.0510
3458.00,1.0492
3457.00,1.0471
3456.00,1.0453
3455.00,1.0439
3454.00,1.0428
3453.00,1.0419
3452.00,1.0411
3451.00,1.0404
3450.00,1.0401
3449.00,1.0401
3448.00,1.0402
3447.00,1.0401
3446.00,1.0396
3445.00,1.0388
3444.00,1.0381
3443.00,1.0377
3442.00,1.0377
3441.00,1.0380
3440.00,1.0388
3439.00,1.0404
3438.00,1.0423
3437.00,1.0442
3436.00,1.0457
3435.00,1.0469
3434.00,1.0479
3433.00,1.0489
3432.00,1.0502
3431.00,1.0518
3430.00,1.0533
3429.00,1.0546
3428.00,1.0554
3427.00,1.0562
3426.00,1.0570
3425.00,1.0578
3424.00,1.0589
3423.00,1.0605
3422.00,1.0626
3421.00,1.0647
3420.00,1.0662
3419.00,1.0668
3418.00,1.0670
3417.00,1.0670
3416.00,1.0676
3415.00,1.0685
3414.00,1.0694
3413.00,1.0695
3412.00,1.0685
3411.00,1.0669
3410.00,1.0648
3409.00,1.0623
3408.00,1.0592
3407.00,1.0556
3406.00,1.0519
3405.00,1.0483
3404.00,1.0452
3403.00,1.0425
3402.00,1.0401
3401.00,1.0374
3400.00,1.0342
3399.00,1.0305
3398.00,1.0264
3397.00,1.0223
3396.00,1.0186
3395.00,1.0157
3394.00,1.0131
3393.00,1.0106
3392.00,1.0077
3391.00,1.0045
3390.00,1.0010
3389.00,0.9972
3388.00,0.9933
3387.00,0.9897
3386.00,0.9864
3385.00,0.9833
3384.00,0.9804
3383.00,0.9780
3382.00,0.9761
3381.00,0.9742
3380.00,0.9721
3379.00,0.9699
3378.00,0.9675
3377.00,0.9651
3376.00,0.9626
3375.00,0.9600
3374.00,0.9575
3373.00,0.9551
3372.00,0.9530
3371.00,0.9510
3370.00,0.9488
3369.00,0.9465
3368.00,0.9440
3367.00,0.9414
3366.00,0.9384
3365.00,0.9351
3364.00,0.9314
3363.00,0.9281
3362.00,0.9252
3361.00,0.9226
3360.00,0.9200
3359.00,0.9171
3358.00,0.9139
3357.00,0.9107
3356.00,0.9075
3355.00,0.9047
3354.00,0.9023
3353.00,0.9002
3352.00,0.8983
3351.00,0.8963
3350.00,0.8939
3349.00,0.8911
3348.00,0.8879
3347.00,0.8848
3346.00,0.8821
3345.00,0.8797
3344.00,0.8774
3343.00,0.8752
3342.00,0.8729
3341.00,0.8706
3340.00,0.8684
3339.00,0.8664
3338.00,0.8643
3337.00,0.8618
3336.00,0.8589
3335.00,0.8560
3334.00,0.8532
3333.00,0.8507
3332.00,0.8483
3331.00,0.8461
3330.00,0.8441
3329.00,0.8422
3328.00,0.8404
3327.00,0.8389
3326.00,0.8374
3325.00,0.8357
3324.00,0.8336
3323.00,0.8313
3322.00,0.8290
3321.00,0.8267
3320.00,0.8246
3319.00,0.8227
3318.00,0.8209
3317.00,0.8192
3316.00,0.8176
3315.00,0.8161
3314.00,0.8147
3313.00,0.8131
3312.00,0.8116
3311.00,0.8102
3310.00,0.8090
3309.00,0.8077
3308.00,0.8063
3307.00,0.8049
3306.00,0.8036
3305.00,0.8022
3304.00,0.8006
3303.00,0.7989
3302.00,0.7973
3301.00,0.7955
3300.00,0.7939
3299.00,0.7924
3298.00,0.7912
3297.00,0.7902
3296.00,0.7893
3295.00,0.7884
3294.00,0.7874
3293.00,0.7864
3292.00,0.7853
3291.00,0.7841
3290.00,0.7828
3289.00,0.7814
3288.00,0.7799
3287.00,0.7785
3286.00,0.7773
3285.00,0.7763
3284.00,0.7752
3283.00,0.7742
3282.00,0.7733
3281.00,0.7722
3280.00,0.7711
3279.00,0.7700
3278.00,0.7690
3277.00,0.7680
3276.00,0.7670
3275.00,0.7661
3274.00,0.7652
3273.00,0.7643
3272.00,0.7635
3271.00,0.7626
3270.00,0.7616
3269.00,0.7604
3268.00,0.7591
3267.00,0.7579
3266.00,0.7568
3265.00,0.7558
3264.00,0.7549
3263.00,0.7540
3262.00,0.7531
3261.00,0.7522
3260.00,0.7513
3259.00,0.7507
3258.00,0.7502
3257.00,0.7497
3256.00,0.7490
3255.00,0.7482
3254.00,0.7472
3253.00,0.7461
3252.00,0.7449
3251.00,0.7440
3250.00,0.7433
3249.00,0.7428
3248.00,0.7424
3247.00,0.7421
3246.00,0.7418
3245.00,0.7414
3244.00,0.7409
3243.00,0.7403
3242.00,0.7399
3241.00,0.7394
3240.00,0.7388
3239.00,0.7382
3238.00,0.7375
3237.00,0.7367
3236.00,0.7358
3235.00,0.7349
3234.00,0.7339
3233.00,0.7327
3232.00,0.7310
3231.00,0.7291
3230.00,0.7269
3229.00,0.7247
3228.00,0.7224
3227.00,0.7201
3226.00,0.7178
3225.00,0.7155
3224.00,0.7131
3223.00,0.7109
3222.00,0.7088
3221.00,0.7069
3220.00,0.7049
3219.00,0.7030
3218.00,0.7010
3217.00,0.6989
3216.00,0.6968
3215.00,0.6949
3214.00,0.6932
3213.00,0.6914
3212.00,0.6895
3211.00,0.6876
3210.00,0.6859
3209.00,0.6842
