wavelength,value
3400.00,1.0295
3399.00,1.0278
3398.00,1.0258
3397.00,1.0239
3396.00,1.0223
3395.00,1.0213
3394.00,1.0208
3393.00,1.0205
3392.00,1.0200
3391.00,1.0190
3390.00,1.0175
3389.00,1.0157
3388.00,1.0139
3387.00,1.0125
3386.00,1.0114
3385.00,1.0105
3384.00,1.0099
3383.00,1.0098
3382.00,1.0102
3381.00,1.0109
3380.00,1.0114
3379.00,1.0118
3378.00,1.0120
3377.00,1.0121
3376.00,1.0122
3375.00,1.0122
3374.00,1.0123
3373.00,1.0127
3372.00,1.0136
3371.00,1.0147
3370.00,1.0158
3369.00,1.0165
3368.00,1.0169
3367.00,1.0168
3366.00,1.0163
3365.00,1.0153
3364.00,1.0142
3363.00,1.0135
3362.00,1.0136
3361.00,1.0141
3360.00,1.0143
3359.00,1.0138
3358.00,1.0130
3357.00,1.0124
3356.00,1.0122
3355.00,1.0127
3354.00,1.0137
3353.00,1.0152
3352.00,1.0171
3351.00,1.0188
3350.00,1.0199
3349.00,1.0202
3348.00,1.0198
3347.00,1.0198
3346.00,1.0205
3345.00,1.0221
3344.00,1.0241
3343.00,1.0258
3342.00,1.0273
3341.00,1.0287
3340.00,1.0304
3339.00,1.0323
3338.00,1.0341
3337.00,1.0352
3336.00,1.0355
3335.00,1.0354
3334.00,1.0354
3333.00,1.0359
3332.00,1.0367
3331.00,1.0381
3330.00,1.0402
3329.00,1.0428
3328.00,1.0460
3327.00,1.0493
3326.00,1.0522
3325.00,1.0541
3324.00,1.0552
3323.00,1.0559
3322.00,1.0566
3321.00,1.0575
3320.00,1.0583
3319.00,1.0591
3318.00,1.0602
3317.00,1.0615
3316.00,1.0629
3315.00,1.0645
3314.00,1.0661
3313.00,1.0677
3312.00,1.0695
3311.00,1.0714
3310.00,1.0735
3309.00,1.0755
3308.00,1.0770
3307.00,1.0781
3306.00,1.0790
3305.00,1.0795
3304.00,1.0795
3303.00,1.0791
3302.00,1.0788
3301.00,1.0787
3300.00,1.0789
3299.00,1.0797
3298.00,1.0814
3297.00,1.0838
3296.00,1.0863
3295.00,1.0884
3294.00,1.0903
3293.00,1.0920
3292.00,1.0934
3291.00,1.0944
3290.00,1.0950
3289.00,1.0955
3288.00,1.0961
3287.00,1.0971
3286.00,1.0988
3285.00,1.1008
3284.00,1.1029
3283.00,1.1051
3282.00,1.1073
3281.00,1.1096
3280.00,1.1119
3279.00,1.1140
3278.00,1.1163
3277.00,1.1189
3276.00,1.1216
3275.00,1.1242
3274.00,1.1266
3273.00,1.1288
3272.00,1.1308
3271.00,1.1323
3270.00,1.1333
3269.00,1.1335
3268.00,1.1332
3267.00,1.1328
3266.00,1.1327
3265.00,1.1330
3264.00,1.1335
3263.00,1.1341
3262.00,1.1345
3261.00,1.1348
3260.00,1.1349
3259.00,1.1351
3258.00,1.1356
3257.00,1.1363
3256.00,1.1368
3255.00,1.1368
3254.00,1.1361
3253.00,1.1349
3252.00,1.1337
3251.00,1.1326
3250.00,1.1321
3249.00,1.1321
