wavelength,value
3052.00,0.8478
3051.00,0.8461
3050.00,0.8445
3049.00,0.8429
3048.00,0.8412
3047.00,0.8396
3046.00,0.8380
3045.00,0.8365
3044.00,0.8351
3043.00,0.8342
3042.00,0.8340
3041.00,0.8347
3040.00,0.8365
3039.00,0.8396
3038.00,0.8435
3037.00,0.8475
3036.00,0.8509
3035.00,0.8538
3034.00,0.8567
3033.00,0.8600
3032.00,0.8634
3031.00,0.8658
3030.00,0.8662
3029.00,0.8640
3028.00,0.8596
3027.00,0.8537
3026.00,0.8473
3025.00,0.8409
3024.00,0.8350
3023.00,0.8298
3022.00,0.8253
3021.00,0.8214
3020.00,0.8180
3019.00,0.8149
3018.00,0.8122
3017.00,0.8099
3016.00,0.8078
3015.00,0.8059
3014.00,0.8042
3013.00,0.8027
3012.00,0.8012
3011.00,0.7998
3010.00,0.7986
3009.00,0.7974
3008.00,0.7963
3007.00,0.7955
3006.00,0.7949
3005.00,0.7945
3004.00,0.7940
3003.00,0.7934
3002.00,0.7930
3001.00,0.7927
3000.00,0.7925
2999.00,0.7924
2998.00,0.7924
2997.00,0.7925
2996.00,0.7925
2995.00,0.7925
2994.00,0.7927
2993.00,0.7928
2992.00,0.7928
2991.00,0.7926
2990.00,0.7923
2989.00,0.7919
2988.00,0.7915
2987.00,0.7911
2986.00,0.7908
2985.00,0.7905
2984.00,0.7901
2983.00,0.7899
2982.00,0.7897
2981.00,0.7895
2980.00,0.7891
2979.00,0.7886
2978.00,0.7881
2977.00,0.7875
2976.00,0.7869
2975.00,0.7863
2974.00,0.7858
2973.00,0.7852
2972.00,0.7846
2971.00,0.7839
2970.00,0.7834
2969.00,0.7828
2968.00,0.7821
2967.00,0.7813
2966.00,0.7805
2965.00,0.7799
2964.00,0.7792
2963.00,0.7786
2962.00,0.7780
2961.00,0.7775
2960.00,0.7771
2959.00,0.7768
2958.00,0.7768
2957.00,0.7769
2956.00,0.7769
2955.00,0.7769
2954.00,0.7768
2953.00,0.7767
2952.00,0.7766
2951.00,0.7766
2950.00,0.7767
2949.00,0.7768
2948.00,0.7768
2947.00,0.7767
2946.00,0.7766
2945.00,0.7766
2944.00,0.7764
2943.00,0.7762
2942.00,0.7761
2941.00,0.7760
2940.00,0.7756
2939.00,0.7751
2938.00,0.7744
2937.00,0.7737
2936.00,0.7729
2935.00,0.7722
2934.00,0.7715
2933.00,0.7707
2932.00,0.7699
2931.00,0.7690
2930.00,0.7681
2929.00,0.7671
2928.00,0.7659
2927.00,0.7649
2926.00,0.7640
2925.00,0.7632
2924.00,0.7624
2923.00,0.7616
2922.00,0.7610
2921.00,0.7604
2920.00,0.7599
2919.00,0.7593
2918.00,0.7588
2917.00,0.7582
2916.00,0.7575
2915.00,0.7567
2914.00,0.7561
2913.00,0.7554
2912.00,0.7548
2911.00,0.7541
2910.00,0.7534
2909.00,0.7526
2908.00,0.7516
2907.00,0.7507
2906.00,0.7498
2905.00,0.7490
2904.00,0.7482
2903.00,0.7472
2902.00,0.7463
2901.00,0.7452
2900.00,0.7442
2899.00,0.7432
2898.00,0.7425
2897.00,0.7418
2896.00,0.7410
2895.00,0.7401
2894.00,0.7391
2893.00,0.7382
2892.00,0.7372
2891.00,0.7363
2890.00,0.7356
2889.00,0.7350
2888.00,0.7344
2887.00,0.7339
2886.00,0.7335
2885.00,0.7331
2884.00,0.7326
2883.00,0.7319
2882.00,0.7313
2881.00,0.7306
2880.00,0.7299
2879.00,0.7292
2878.00,0.7285
2877.00,0.7277
2876.00,0.7269
2875.00,0.7261
2874.00,0.7254
2873.00,0.7246
2872.00,0.7238
2871.00,0.7229
2870.00,0.7219
2869.00,0.7210
2868.00,0.7201
2867.00,0.7192
2866.00,0.7184
2865.00,0.7176
2864.00,0.7168
2863.00,0.7160
2862.00,0.7153
2861.00,0.7149
2860.00,0.7144
2859.00,0.7139
2858.00,0.7133
2857.00,0.7125
2856.00,0.7118
2855.00,0.7113
2854.00,0.7109
2853.00,0.7107
2852.00,0.7105
2851.00,0.7104
2850.00,0.7105
2849.00,0.7107
2848.00,0.7108
2847.00,0.7107
2846.00,0.7106
2845.00,0.7105
2844.00,0.7104
2843.00,0.7104
2842.00,0.7105
2841.00,0.7106
2840.00,0.7105
2839.00,0.7104
2838.00,0.7100
2837.00,0.7093
2836.00,0.7085
2835.00,0.7075
2834.00,0.7066
2833.00,0.7055
2832.00,0.7044
2831.00,0.7031
2830.00,0.7018
2829.00,0.7004
2828.00,0.6989
2827.00,0.6973
2826.00,0.6958
2825.00,0.6942
2824.00,0.6924
2823.00,0.6906
2822.00,0.6886
2821.00,0.6866
2820.00,0.6845
2819.00,0.6823
